,id, H, T, MWDIR
133,201706081734.jpg,0.16,2.9,42.0
134,201706081835.jpg,0.15,3.04,46.0
136,201706082034.jpg,0.12,2.92,32.0
137,201706082134.jpg,0.11,2.82,42.0
140,201706091334.jpg,0.43,2.64,248.0
141,201706091434.jpg,0.39,2.75,248.0
142,201706092135.jpg,0.2,2.16,43.0
143,201706092234.jpg,0.28,2.12,52.0
145,201706111234.jpg,0.62,2.91,246.0
146,201706111333.jpg,0.58,2.99,250.0
148,201706111534.jpg,0.48,3.06,244.0
149,201706112234.jpg,0.45,2.93,242.0
150,201706121234.jpg,0.48,2.55,255.0
151,201706131233.jpg,0.3,3.49,334.0
152,201706131333.jpg,0.31,3.69,350.0
154,201706131534.jpg,0.29,4.07,355.0
155,201706131734.jpg,0.35,2.91,356.0
156,201706131935.jpg,0.27,2.13,43.0
159,201706141334.jpg,0.23,2.29,180.0
160,201706151234.jpg,0.18,2.42,297.0
162,201706161334.jpg,0.68,3.31,265.0
163,201706161634.jpg,0.52,3.77,304.0
164,201706171935.jpg,0.33,2.47,240.0
166,201706181334.jpg,0.61,3.29,271.0
171,201706191835.jpg,0.21,3.12,354.0
172,201706192034.jpg,0.19,3.35,360.0
173,201706201234.jpg,0.61,3.32,286.0
176,201706212134.jpg,0.31,2.32,37.0
178,201706220034.jpg,0.33,2.5,71.0
184,201706231834.jpg,0.39,2.58,315.0
185,201706232134.jpg,0.27,3.15,350.0
186,201706232234.jpg,0.24,3.4,360.0
187,201706241234.jpg,1.0,4.11,339.0
188,201706241334.jpg,0.89,4.34,334.0
192,201706242234.jpg,0.55,3.95,343.0
193,201706251234.jpg,1.23,4.9,0.0
194,201706251334.jpg,1.14,4.56,305.0
195,201706261234.jpg,0.88,4.02,331.0
197,201706261734.jpg,0.51,4.09,41.0
198,201706261834.jpg,0.44,3.79,334.0
199,201706271234.jpg,0.68,4.94,321.0
200,201706271334.jpg,0.61,4.72,29.0
201,201706271434.jpg,0.58,4.69,258.0
202,201706271934.jpg,0.37,3.89,323.0
204,201706280034.jpg,0.21,2.82,108.0
207,201706291234.jpg,0.48,2.91,241.0
208,201706291334.jpg,0.45,2.58,244.0
211,201706301234.jpg,0.25,2.03,236.0
213,201707011534.jpg,0.31,2.53,330.0
216,201707012134.jpg,0.19,2.11,111.0
217,201707012234.jpg,0.17,2.0,166.0
219,201707021634.jpg,0.22,2.3,282.0
220,201707021734.jpg,0.23,2.38,297.0
221,201707021834.jpg,0.24,2.2,142.0
224,201707030134.jpg,0.52,2.61,132.0
225,201707031734.jpg,0.23,2.02,8.0
226,201707032134.jpg,0.41,2.29,15.0
227,201707032234.jpg,0.6,2.46,38.0
228,201707041234.jpg,0.51,4.24,313.0
229,201707041334.jpg,0.48,3.97,43.0
230,201707041434.jpg,0.47,3.8,7.0
231,201707041534.jpg,0.44,4.02,74.0
232,201707041834.jpg,0.3,3.68,359.0
233,201707042234.jpg,0.35,2.05,26.0
236,201707052234.jpg,0.12,2.64,327.0
239,201707071834.jpg,0.31,4.81,200.0
241,201707072034.jpg,0.49,4.06,203.0
242,201707072134.jpg,0.68,3.78,354.0
243,201707072234.jpg,0.88,3.98,5.0
244,201707080134.jpg,0.99,4.43,14.0
247,201707081434.jpg,1.17,4.93,356.0
248,201707091934.jpg,0.23,2.44,284.0
249,201707092034.jpg,0.2,2.06,94.0
251,201707101433.jpg,0.6,2.96,9.0
252,201707101534.jpg,0.52,2.77,348.0
253,201707102234.jpg,0.12,3.08,318.0
254,201707121234.jpg,0.48,2.77,16.0
255,201707122034.jpg,0.43,2.17,206.0
259,201707132134.jpg,0.37,2.65,260.0
260,201707132234.jpg,0.39,2.85,294.0
262,201707141734.jpg,1.3,4.51,357.0
265,201707142034.jpg,1.27,4.56,7.0
266,201707142134.jpg,1.26,4.97,24.0
270,201707151434.jpg,0.58,4.72,29.0
271,201707152234.jpg,0.27,4.48,136.0
272,201707161233.jpg,0.49,3.69,252.0
274,201707161434.jpg,0.58,3.18,355.0
275,201707161634.jpg,1.02,5.49,316.0
276,201707161934.jpg,1.27,5.9,358.0
277,201707171234.jpg,1.04,5.69,21.0
278,201707171334.jpg,0.91,5.29,351.0
280,201707181234.jpg,0.27,3.47,52.0
281,201707182234.jpg,0.17,4.08,115.0
286,201707211334.jpg,0.24,2.03,77.0
287,201707211434.jpg,0.24,2.04,71.0
288,201707221534.jpg,0.33,2.22,262.0
290,201707221734.jpg,0.37,2.14,319.0
292,201707221934.jpg,0.3,2.93,314.0
293,201707222034.jpg,0.24,2.08,10.0
294,201707222134.jpg,0.22,2.39,236.0
295,201707222234.jpg,0.18,2.07,40.0
296,201707231734.jpg,0.13,3.03,16.0
297,201707231834.jpg,0.16,2.41,152.0
298,201707231934.jpg,0.16,2.05,112.0
301,201707240034.jpg,0.34,2.3,48.0
302,201707241234.jpg,1.56,6.2,0.0
303,201707241333.jpg,1.64,6.51,348.0
305,201707252234.jpg,0.23,4.21,188.0
306,201707261234.jpg,0.39,2.32,197.0
307,201707261334.jpg,0.39,2.29,239.0
308,201707281333.jpg,1.16,5.82,9.0
309,201707281434.jpg,1.22,5.66,23.0
311,201707291334.jpg,1.16,5.63,360.0
314,201707310034.jpg,0.34,2.7,32.0
316,201707311834.jpg,0.12,2.17,175.0
317,201708010034.jpg,0.27,2.05,66.0
319,201708011734.jpg,0.09,2.4,19.0
320,201708031234.jpg,0.8,5.82,353.0
321,201708031334.jpg,0.76,6.35,4.0
322,201708031434.jpg,0.77,5.96,352.0
323,201708031534.jpg,0.8,5.95,346.0
324,201708031934.jpg,0.93,6.6,329.0
328,201708081234.jpg,0.68,4.75,29.0
331,201708111233.jpg,0.56,3.54,293.0
332,201708111333.jpg,0.54,3.15,295.0
333,201708111434.jpg,0.48,3.13,288.0
335,201708111634.jpg,0.41,3.0,297.0
341,201708121434.jpg,1.17,4.94,347.0
343,201708130034.jpg,1.1,5.61,359.0
346,201708140034.jpg,0.28,2.38,21.0
348,201708151834.jpg,0.22,2.43,315.0
350,201708152234.jpg,0.49,2.27,23.0
352,201708161234.jpg,0.52,4.41,181.0
354,201708161434.jpg,0.48,4.34,218.0
355,201708162134.jpg,0.38,3.45,354.0
357,201708180034.jpg,1.02,4.28,281.0
358,201708181234.jpg,1.2,4.32,93.0
360,201708181634.jpg,1.02,4.58,343.0
361,201708182134.jpg,0.74,5.13,357.0
363,201708190034.jpg,0.63,4.93,36.0
365,201708191433.jpg,0.7,4.18,116.0
368,201708192234.jpg,0.32,4.01,112.0
370,201708202034.jpg,0.19,2.09,255.0
373,201708221233.jpg,1.18,3.91,277.0
374,201708221333.jpg,1.25,4.03,352.0
375,201708222033.jpg,0.93,4.63,303.0
378,201708230034.jpg,1.34,4.4,335.0
380,201708231333.jpg,1.33,5.87,356.0
381,201708232233.jpg,0.89,5.34,358.0
383,201708261234.jpg,0.37,2.41,54.0
384,201708281234.jpg,0.37,2.15,172.0
385,201708291233.jpg,0.16,3.64,37.0
386,201708291433.jpg,0.18,3.49,18.0
387,201708291534.jpg,0.21,2.83,10.0
389,201708291934.jpg,0.41,2.06,20.0
390,201708292034.jpg,0.6,2.21,182.0
391,201708292233.jpg,0.81,3.01,359.0
398,201708302034.jpg,0.33,3.17,5.0
399,201708302134.jpg,0.3,3.3,333.0
400,201708302234.jpg,0.27,3.25,317.0
406,201709021434.jpg,0.43,4.33,8.0
407,201709021634.jpg,0.43,4.15,255.0
409,201709021934.jpg,0.36,3.98,80.0
411,201709022134.jpg,0.3,3.65,155.0
413,201709031334.jpg,0.39,3.26,279.0
414,201709031434.jpg,0.43,3.11,305.0
416,201709031734.jpg,0.36,2.88,320.0
417,201709031834.jpg,0.4,3.22,326.0
418,201709031934.jpg,0.33,3.06,353.0
419,201709032034.jpg,0.3,2.96,326.0
420,201709032134.jpg,0.31,2.93,5.0
421,201709032234.jpg,0.3,2.72,82.0
422,201709041234.jpg,0.73,3.17,238.0
424,201709041433.jpg,0.85,3.52,265.0
427,201709051834.jpg,1.37,5.13,318.0
429,201709052034.jpg,1.27,5.17,358.0
433,201709071334.jpg,1.27,5.47,12.0
434,201709071434.jpg,1.18,5.35,307.0
436,201709072234.jpg,0.73,5.08,21.0
437,201709081234.jpg,0.6,4.11,226.0
439,201709081634.jpg,0.46,4.06,124.0
442,201709091234.jpg,0.72,6.34,32.0
443,201709091333.jpg,0.72,6.27,291.0
445,201709101234.jpg,0.37,2.06,125.0
449,201709112033.jpg,0.39,2.04,18.0
452,201709121634.jpg,0.34,2.18,31.0
454,201709121834.jpg,0.43,2.51,51.0
455,201709122034.jpg,0.6,3.02,34.0
459,201709142234.jpg,0.08,2.11,183.0
460,201709151234.jpg,0.29,2.01,189.0
461,201709161233.jpg,0.37,2.07,184.0
463,201709161934.jpg,0.21,2.12,165.0
465,201709171334.jpg,0.33,2.07,208.0
466,201709181233.jpg,0.71,4.52,40.0
468,201709182134.jpg,0.55,4.22,37.0
469,201709191234.jpg,0.45,3.84,32.0
470,201709191433.jpg,0.41,4.29,66.0
474,201709221834.jpg,0.09,2.57,184.0
475,201709221934.jpg,0.12,2.17,261.0
479,201709231934.jpg,0.15,2.57,350.0
480,201709232034.jpg,0.17,2.05,153.0
482,201709241934.jpg,0.19,2.12,142.0
483,201709252134.jpg,0.09,2.23,314.0
484,201709252234.jpg,0.1,2.26,83.0
485,201709262134.jpg,0.22,2.45,242.0
486,201709271734.jpg,1.26,6.28,38.0
487,201709272234.jpg,1.26,6.02,13.0
488,201709281234.jpg,0.98,5.28,353.0
489,201709282133.jpg,0.72,5.16,300.0
492,201710012134.jpg,0.34,2.0,109.0
495,201710031233.jpg,0.48,2.54,193.0
497,201710032033.jpg,0.55,2.8,289.0
499,201710032233.jpg,0.51,2.72,256.0
500,201710041833.jpg,0.92,3.2,336.0
501,201710042033.jpg,0.88,4.34,27.0
504,201710051934.jpg,0.4,4.36,227.0
507,201710071233.jpg,0.59,2.32,205.0
508,201710071934.jpg,0.99,3.45,285.0
511,201710092034.jpg,0.12,2.1,283.0
512,201710101233.jpg,1.21,5.44,359.0
513,201710101433.jpg,1.11,5.61,18.0
515,201710131634.jpg,0.35,2.21,250.0
516,201710141633.jpg,0.27,2.22,140.0
518,201710162034.jpg,0.59,6.09,12.0
520,201710162234.jpg,0.44,5.91,40.0
522,201710181233.jpg,0.52,2.16,217.0
524,201710191233.jpg,0.7,3.5,267.0
525,201710191333.jpg,0.7,3.66,296.0
526,201710191434.jpg,0.56,3.48,251.0
528,201710191634.jpg,0.53,3.28,298.0
530,201710191834.jpg,0.45,3.37,348.0
531,201710191934.jpg,0.4,3.91,89.0
534,201710202234.jpg,0.24,2.1,247.0
536,201710211934.jpg,0.44,2.23,233.0
537,201710212034.jpg,0.44,2.17,216.0
538,201710212234.jpg,0.41,2.15,201.0
539,201710221233.jpg,0.61,2.6,182.0
542,201710251433.jpg,1.74,7.73,348.0
543,201710251533.jpg,1.5,7.82,20.0
545,201710251934.jpg,1.02,6.49,354.0
547,201710252233.jpg,0.85,6.38,4.0
549,201710261333.jpg,0.43,2.12,159.0
550,201710262134.jpg,0.49,2.38,161.0
553,201710271533.jpg,1.5,5.24,303.0
554,201710281333.jpg,1.38,4.26,302.0
556,201710291634.jpg,1.03,5.2,328.0
557,201710291734.jpg,1.0,5.76,32.0
559,201710291934.jpg,0.79,6.44,356.0
560,201710292033.jpg,0.69,5.87,327.0
561,201710292234.jpg,0.66,5.86,324.0
562,201710301333.jpg,1.36,4.41,280.0
565,201710301834.jpg,1.69,5.18,335.0
567,201710311934.jpg,0.89,4.92,327.0
569,201710312233.jpg,0.6,5.46,320.0
570,201711011833.jpg,0.41,2.23,192.0
571,201711021633.jpg,0.23,2.35,303.0
572,201711031233.jpg,2.58,6.31,13.0
573,201711031634.jpg,1.71,6.6,354.0
575,201711041233.jpg,0.73,3.4,134.0
576,201711041333.jpg,0.7,3.51,61.0
578,201711061433.jpg,1.79,6.55,16.0
580,201711061833.jpg,1.37,6.15,30.0
581,201711062033.jpg,1.43,5.49,17.0
582,201711062133.jpg,1.4,5.95,85.0
583,201711071233.jpg,0.9,4.25,34.0
584,201711071333.jpg,0.98,4.5,44.0
590,201711082034.jpg,0.39,3.94,113.0
591,201711082133.jpg,0.37,3.93,21.0
592,201711082233.jpg,0.36,4.33,112.0
593,201711091433.jpg,1.49,3.71,270.0
594,201711091633.jpg,1.51,4.48,314.0
599,201711111333.jpg,0.39,2.1,148.0
